,title,text
14,360 Threat Intelligence Center,"360 Threat Intelligence Center - это часть китайской компании Qihoo 360 Technology Co. Ltd., которая специализируется на разработке антивирусного и антишпионского программного обеспечения, а также предоставлении услуг в области кибербезопасности. Этот центр занимается исследованием киберугроз и предоставляет подробную информацию о них, чтобы сделать киберпространство безопаснее."
15,365 Defender,"Microsoft 365 Defender - это комплексное решение для защиты организаций от киберугроз. Оно включает в себя компоненты, такие как Microsoft Defender for Endpoint, Microsoft Defender for Office 365 и Microsoft Defender for Identity, предоставляя инструменты для обнаружения, предотвращения и реагирования на угрозы безопасности данных и сетей. Microsoft 365 Defender обеспечивает комплексную безопасность на различных уровнях и помогает организациям защищаться от разнообразных кибератак и атакующих угроз."
16,3CX,"3CX — компания-разработчик ПО, которая предоставляет современные программные АТС для предприятий. 3CX также предлагает ряд дополнительных продуктов и услуг, включая веб-конференции, онлайн-чат и ПО для колл-центров."
17,404 Media,"404 Media - это онлайн-издание, которое занимается журналистикой в области технологий и интернета. Оно было основано в 2023 бывшими сотрудниками Vice Media, Motherboard и прочих известных изданий."
18,404 Team,"404 Team - это китайская команда экспертов по кибербезопасности, основанная в 2004 году. Сейчас функционирует в рамках компании Knownsec. Команда занимается исследованиями уязвимостей в компьютерных системах, программном обеспечении и сетях. 404 Team известна своим участием в международных соревнованиях по хакерству и защите информации. Она привлекла внимание своими успешными демонстрациями взломов и атак на известные системы, что привело к её популярности и признанию в сообществе информационной безопасности."
19,5G,"5G - это новый стандарт мобильной связи, который обеспечивает высокую скорость передачи данных, низкую задержку и высокую ёмкость сети. Он позволяет быстрее загружать и передавать информацию, поддерживает большое количество подключенных устройств, и обеспечивает высокое качество связи. Этот стандарт играет важную роль в развитии интернета вещей и новых технологий, таких как виртуальная и дополненная реальность, а также автономные автомобили."
20,6G,"6G - это будущее поколение мобильных сетей, разрабатываемое после 5G, которое обещает предоставить беспрецедентные скорости передачи данных, достигая терабитов в секунду, а также минимальную задержку, что позволит реализовать приложения с мгновенной реакцией, включая удалённое управление роботами и автономными автомобилями. 6G также будет обеспечивать высокую надежность соединения и будет работать на более высоких частотах, включая миллиметровые и терагерцовые диапазоны, что расширит возможности для новых приложений. В разработке 6G также активно исследуются применения искусственного интеллекта и квантовых технологий."
21,7-zip,"7-Zip - это бесплатная и открытая программа для архивации и распаковки файлов в различных форматах. Она поддерживает множество сжатых форматов, таких как 7z, ZIP, RAR, GZIP и многие другие. Основное преимущество 7-Zip - это высокая степень сжатия данных, что означает, что файлы, архивированные с её помощью, занимают меньше места на диске."
22,8-K,"Форма 8-K является отчётом, который компании, торгующиеся на публичных рынках в США, обязаны подавать в Комиссию по ценным бумагам и биржам США (SEC) для уведомления о существенных событиях, которые могут повлиять на решения инвесторов. Сюда входят корпоративные приобретения или продажи активов, изменения в управлении или контроле компании, банкротства, изменения учётной политики, а также другие финансовые или операционные события. Цель формы 8-K - обеспечить прозрачность и своевременное раскрытие информации, которая может влиять на рыночную стоимость компании или её акций, что позволяет инвесторам и рынку в целом быть в курсе важных изменений в делах компании. Форма 8-K должна быть подана в SEC в течение 4 рабочих дней после того, как компании стало известно о событии, требующем раскрытия."
23,802.11,"802.11 - это серия стандартов, разработанных Институтом инженеров электрических и электронных инженеров (IEEE) для беспроводных сетей локальной области (WLAN). Стандарт 802.11 определяет протоколы и спецификации для беспроводной связи между устройствами, такими как компьютеры, смартфоны, планшеты и другие устройства."
24,9Hits,"9Hits – это система обмена трафиком, позволяющая пользователям привлекать трафик на свои сайты. Для этого используется приложение 9hits viewer, устанавливаемое на устройства клиентов и работающее на основе автономного экземпляра браузера Chrome. Пользователи зарабатывают очки, посещая сайты других участников системы, и тратят эти очки, чтобы получать посетителей на свой сайт. Так как это автоматизированный способ повышения трафика сайта, получаемый трафик не является органическим и может не способствовать реальному вовлечению или конверсии."
25,A-GPS,"A-GPS (Assisted Global Positioning System) - это технология, которая помогает мобильным устройствам быстрее и точнее определять их местоположение с помощью GPS. Она использует данные сотовых сетей, чтобы помочь GPS-приемнику быстрее определить текущее местоположение устройства и улучшить точность его позиционирования."
26,a16z,"Andreessen Horowitz (также известная как a16z) - это венчурная компания с штаб-квартирой в Силиконовой долине, Калифорния. Она была основана в 2009 году Марком Андрессеном и Беном Хоровицем, двумя опытными предпринимателями и инвесторами в технологическом секторе. a16z специализируется на инвестициях в стартапы в области технологий и инноваций. Компания известна своим крупным портфелем, включая такие успешные компании, как Facebook, Airbnb, Lyft, Slack и многие другие. a16z также предоставляет стартапам советы и экспертное сопровождение, помогая им в росте и развитии. Эта венчурная компания считается одной из влиятельных игроков в мире инвестиций в технологические стартапы и активно участвует в формировании инновационных решений и трендов в технологической индустрии."
27,AAA,"«Аутентификация, авторизация и учёт» или «Authentication, Authorization and Accounting» (AAA) – это система и методология, используемые для обеспечения безопасности и контроля доступа к информационным ресурсам в компьютерных сетях. AAA состоит из трёх процессов: • Аутентификация (authentication) - это проверка личности пользователя, который пытается получить доступ к сети или сетевому устройству. Обычно для этого используются логин и пароль, но могут быть и другие методы, такие как сертификаты, смарт-карты или биометрия. • Авторизация (authorization) - это определение прав и ограничений пользователя в сети. Например, какие ресурсы он может использовать, какие команды он может выполнять, какие данные он может видеть и т.д. • Учёт (accounting) - это запись и отслеживание информации о действиях пользователя в сети. Например, когда и сколько времени он был подключен, сколько трафика он передал или получил, какие ресурсы он использовал и т.д. Для реализации AAA в сетях обычно используются специальные серверы доступа, которые обрабатывают запросы от сетевых устройств или клиентов."
28,AADHAAR,"AADHAAR — это 12-значный уникальный идентификационный номер, который выдается гражданам Индии на основе их биометрических и демографических данных. Проект был запущен правительством Индии с целью предоставления единого и уникального идентификационного номера каждому жителю страны и позволяет сократить дублирование данных и мошенничество. AADHAAR используется в различных государственных службах, в том числе для учёта социальных льгот, банковских операций и прочих услуг."
29,AAI,"Альянс автомобильных инноваций (Alliance for Automotive Innovation, AAI) - это торговая ассоциация, представляющая автомобильную промышленность в США. Она объединяет ведущих производителей автомобилей, поставщиков компонентов и других заинтересованных сторон в автомобильной отрасли. Альянс был создан в 2019 году с целью содействия инновациям, развитию автомобильной технологии и поддержке устойчивого развития автомобильной индустрии. Члены ассоциации вкладывают значительные усилия в исследования и разработки, связанные с автомобильной безопасностью, эффективностью топлива, электромобильностью, связанными с автомобилем технологиями и другими ключевыми аспектами автомобильной индустрии."
30,AARO,"AARO (All-domain Anomaly Resolution Office) - офис по разрешению всех видов аномалий - это орган, относящийся к Министерству обороны США, который занимается расследованием НЛО и других явлений в воздухе, на море, в космосе или на земле. AARO является преемником Рабочей группы по неопознанным воздушным явлениям (UAPTF), которая ранее занималась сбором и анализом данных о НЛО."
31,ABC,"ABC (Australian Broadcasting Corporation) - это австралийская государственная телерадиовещательная корпорация. ABC является крупнейшим общественным телеканалом в Австралии и предлагает широкий спектр программного контента, включая новости, документальные фильмы, развлекательные шоу, сериалы, радиопередачи и онлайн-содержимое. Телеканал имеет национальное покрытие и является одним из основных источников новостей и информации в Австралии. Он предлагает качественные новостные программы, которые освещают как внутренние, так и международные события, политику, экономику, культуру, науку и прочие темы."
32,Ably Platform,"Ably Platform - это платформа для публикации и подписки на сообщения, которую компании могут использовать для разработки функций в реальном времени в своих продуктах. Ably Platform позволяет создавать синхронизированные цифровые взаимодействия в реальном времени, используя набор простых API."
33,Abnormal Security,"Abnormal Security - это основанная в 2018 году компания, которая занимается кибербезопасностью и предоставляет решения для защиты электронной почты от фишинга, мошенничества и других видов кибератак. Компания использует искусственный интеллект и машинное обучение для анализа поведения электронной почты и обнаружения необычных или подозрительных активностей."
34,ACCC,"ACCC (Australian Competition and Consumer Commission) – это независимое регулирующее агентство в Австралии, которое ответственно за соблюдение законов о конкуренции и защите прав потребителей. Оно играет важную роль в обеспечении справедливых и конкурентных условий на австралийском рынке, а также в защите интересов потребителей."
35,Accellion FTA,"Accellion FTA - это платформа для обмена файлами, которая обеспечивает безопасную передачу данных между внутренними и внешними пользователями в организации. Она разработана для удобного обмена большими файлами и совместной работы над документами внутри компании и за ее пределами. Accellion FTA предлагает высокий уровень безопасности с помощью шифрования и интеграции с существующими системами защиты. Платформа позволяет управлять доступом и разрешениями на файлы, предоставляет аудит и журналирование действий пользователей. Кроме того, Accellion FTA предоставляет возможность интеграции с другими приложениями, такими как SharePoint, Salesforce, Office 365 и другими. Accellion FTA может быть развернут в облаке или на локальных серверах."
36,Access control matrix,"Матрица управления доступом или матрица доступа — это абстрактная, формальная модель безопасности состояния защиты в компьютерных системах, характеризующая права каждого субъекта по отношению к каждому объекту в системе. Впервые матрица была представлена Батлером В. Лэмпсоном в 1971 году."
37,Access Control Service,"Служба контроля доступа (Access Control Service) - служба безопасности, обеспечивающая защиту системных ресурсов от несанкционированного доступа. Двумя основными механизмами реализации этой службы являются ACL и тикеты."
38,Access Now,"Access Now - это международная организация, занимающаяся защитой цифровых прав человека по всему миру. Она борется за свободу интернета и цифровую безопасность, а также защищает права граждан на анонимность и свободу выражения в онлайне. Организация предоставляет поддержку и ресурсы для людей и групп, сталкивающихся с цифровыми угрозами и цензурой. Access Now также работает над усилением международного сотрудничества в сфере цифровых прав и участвует в образовательных и адвокатских инициативах по защите интернет-свободы."
39,Accor Security,"Accor Security – подразделение крупной международной гостиничной группы Accor, отвечающее за разработку и внедрение мер безопасности для защиты данных и обеспечения безопасности гостей и сотрудников в отелях сети."
40,Account takeover,"Атака с захватом аккаунта (Account takeover, ATO) - атака, в ходе которой злоумышленник компрометирует учетные данные для получения доступа к системе, приложению или учетной записи пользователя."
41,Ace Hardware,"Компания Ace Hardware — это американская сеть магазинов товаров для дома и сада, работающая по франчайзингу. Основанная в 1924 году, Ace Hardware выросла до более чем 5000 магазинов по всему миру, предлагая широкий ассортимент товаров от инструментов и красок до садовой техники и принадлежностей для гриля. Компания известна своим акцентом на высоком уровне обслуживания клиентов и поддержке местных сообществ, что делает её популярной среди потребителей, предпочитающих индивидуальный подход и специализированные знания в области домашнего хозяйства."
42,Acer,"Acer - это крупная международная компания, специализирующаяся на производстве компьютеров, ноутбуков, мониторов, планшетов и другой электроники. Основана в 1976 году и имеет штаб-квартиру в Тайване. Acer является одним из крупнейших мировых производителей компьютерной техники и электроники. Компания предлагает широкий ассортимент продуктов для дома и бизнеса, включая ноутбуки, настольные компьютеры, мониторы, проекторы, планшеты, смартфоны и аксессуары. Acer также известен своими игровыми ноутбуками и компьютерами под брендом Predator, которые ориентированы на геймеров. Компания активно развивает инновации и выпускает продукты с последними технологическими достижениями. Acer имеет мировую дистрибьюторскую сеть и представительства во многих странах, что позволяет ей обеспечивать продукты и поддержку клиентов по всему миру."
43,ACL,"Список управления доступом (ACL) - механизм, реализующий управление доступом к системному ресурсу путем перечисления идентификаторов системных объектов, которым разрешен доступ к ресурсу."
44,ACLU,"Американский союз защиты гражданских свобод (American Civil Liberties Union, ACLU) — это некоммерческая организация в США, которая была основана в 1920 году. ACLU занимается защитой и расширением гражданских прав и свобод, закрепленных в Конституции США и законах страны. Организация активно участвует в судебных разбирательствах, поддерживает законодательные инициативы и проводит образовательные кампании. Основными направлениями деятельности ACLU являются защита свободы слова, права на приватность, равенство перед законом, права на справедливый суд и свободу собраний. ACLU ведет борьбу против дискриминации по признакам расы, пола, сексуальной ориентации и других. Кроме того, организация стоит на страже прав граждан в контексте повышения мер безопасности и надзора, настаивая на том, что сохранение личной свободы и приватности является ключевым для демократического общества."
45,Acronis,"Компания Acronis - мировой лидер в сфере киберзащиты, разработчик программного обеспечения для резервного копирования, восстановления данных и защиты от кибератак. Компания была основана в Сингапуре в 2003 году, штаб-квартиры расположены в Швейцарии и Сингапуре. Широкая партнёрская сеть обеспечивает работу более чем в 50 странах мира. Продуктовый портфель Acronis включает решения для защиты физических, виртуальных и облачных сред, приложений и данных с использованием технологий искусственного интеллекта. Ключевые решения: Acronis Cyber Protect, Acronis Cyber Backup, Acronis Cyber Disaster Recovery и другие."
